@_uuid,correct_index,strata,area_urban_rural,area_km,area_km_2,weight,adm1Pcode,adm1NameLa,FCS_4pt,FSI,num_children,has_children,edu_pin_bin,edu_pin_bin_population,health_pin_bin,food_pin_bin,shelter_pin_bin?,wash_pin_bin,pin_number_sectors,overlap_edu_health,overlap_edu_food,overlap_edu_shelter,overlap_edu_wash,overlap_health_food,overlap_health_shelter,overlap_health_wash,overlap_food_shelter,overlap_food_wash,overlap_shelter_wash
769a56fc-c10c-4e0a-b322-3f2a2fe00755,1601,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,2.780958619124520,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77213131-abc2-449c-8112-7135d8398081,1602,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,2.780958619124520,UKR14,Donetska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29f99a37-6ddc-4240-9c54-639235e3848d,1603,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,2.780958619124520,UKR14,Donetska,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e82d4518-3969-446e-a25e-e672d64cb2a5,1604,"NOT_20KM_Urban_<100,000",small_urban,over_20km,over_20km,2.780958619124520,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5afd3827-e0f5-43c2-a12e-e324e75ee15d,1605,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6992e20c-9dfc-4d60-bfd2-15f3e5624dac,1606,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e7798565-f8be-4a3e-9489-5a72761a1268,1607,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,1,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
bce0c538-e527-481e-90fc-b69d1cd21fe7,1608,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbf6b2de-a7a2-4236-b394-98cbba2f81ce,1609,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aa505ad8-ffa9-4ec9-bae0-b691ac948e3e,1610,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,1,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
a8554d79-c03c-4db1-92bb-36fb30098716,1611,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1c3e187f-0a62-4900-be37-ca47925a00ce,1612,5KM_Rural,rural,5km,20km,0.102728869598526,UKR14,Donetska,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0896161-5674-4d37-96c6-44d1cb1263fb,1613,"5KM_Urban_<100,000",small_urban,5km,20km,0.117632480644983,UKR44,Luhanska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cabda433-d438-4c1f-89c8-fc1018e58a4a,1614,"5KM_Urban_<100,000",small_urban,5km,20km,0.117632480644983,UKR44,Luhanska,1,1,1,1,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
af3db60e-cf12-4c90-8afe-95d57cc27183,1615,5KM_Rural,rural,5km,20km,0.104080565251139,UKR44,Luhanska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3c8a9e7a-9c5a-4bdf-934f-1c44e2feb0ce,1616,"5KM_Urban_<100,000",small_urban,5km,20km,0.575407073998352,UKR44,Luhanska,1,1,1,1,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
