a4Pcode,strata,samples,population,strata_sample,strata_population,cluster_weight,strata_weight,final_weight,final_weight_normalized
UKR1421255100,"NOT_20KM_Urban_<100,000",4,5782,313,757221,0.597502579,2.311999314,1.381425551,33.14236442
UKR1422755600,"NOT_20KM_Urban_<100,000",4,2930,313,757221,0.302781487,2.311999314,0.700030589,16.79472981
UKR1423056600,"NOT_20KM_Urban_<100,000",4,1955,313,757221,0.202026555,2.311999314,0.467085256,11.20603986
UKR1424255300,"NOT_20KM_Urban_<100,000",4,821,313,757221,0.084840819,2.311999314,0.196151916,4.705963541
UKR1424255600,"NOT_20KM_Urban_<100,000",4,6063,313,757221,0.626540666,2.311999314,1.448561591,34.75305353
UKR4411870400,"NOT_20KM_Urban_<100,000",4,7342,313,757221,0.758710469,2.311999314,1.754138083,42.08426835
UKR4422855100,"NOT_20KM_Urban_<100,000",4,5876,313,757221,0.607216387,2.311999314,1.403883871,33.68117146
UKR4423155100,"NOT_20KM_Urban_<100,000",4,8312,313,757221,0.858948709,2.311999314,1.985888824,47.64429836
UKR1412900000,"NOT_20KM_Urban_>100,000",78,157627,208,377011,1.114924145,1.732208141,1.93128068,46.33417128
UKR1414100000,"NOT_20KM_Urban_>100,000",69,113196,208,377011,0.905089034,1.732208141,1.567802593,37.61381482
UKR4412900000,"NOT_20KM_Urban_>100,000",61,106188,208,377011,0.960406121,1.732208141,1.663623302,39.91268996
,,2565,,,,126.0036184,,106.9132091,
