"","settlement","yes_no_host"
"9074","NC-3905-N24-002","yes"
"9088","NC-3812-K04-001","no"
"9090","NC-3812-J12-001","yes"
"9095","NC-3812-N13-001","yes"
"9108","NC-3812-A05-001","yes"
"9112","NC-3812-A05-001","no"
"9113","NB-3905-N18-002","no"
"9114","NB-3905-N18-002","yes"
"9118","NB-3909-P03-001","yes"
"9126","NB-3812-F27-002","yes"
"9127","NB-3812-F22-001","yes"
"9129","NB-3812-S31-001","yes"
"9130","NB-3808-Z30-001","yes"
"9291","SA-3801-J12-001","no"
"9350","NA-3801-B06-001","yes"
"9436","NA-3806-G15-001","no"
"9437","NB-3813-Y30-002","no"
"9438","NA-3805-J22-001","yes"
"9446","NC-3808-E26-001","yes"
"9448","NC-3808-F24-001","yes"
"9450","NC-3808-K20-002","yes"
"9454","NB-3807-V30-001","yes"
"9504","NC-3811-B27-001","yes"
"9507","SA-3801-J12-001","yes"
"9521","NC-3812-K04-001","yes"
"9530","NC-3812-E03-001","no"
"9532","NC-3812-E03-001","yes"
"9544","NC-3808-W18-001","no"
"9553","NA-3807-Z08-001","no"
"9556","NA-3807-Z08-001","yes"
"9590","NA-3807-D12-010","yes"
"9636","NA-3805-S07-001","no"
"9637","NA-3805-S07-001","yes"
"9662","NA-3708-F12-002","yes"
"9668","NA-3708-F11-001","yes"
"9675","NA-3805-N24-001","no"
"9687","SA-3801-M05-001","no"
"9701","SA-3801-K10-001","no"
"9721","NC-3812-G26-001","yes"
"9733","SA-3801-F14-001","no"
"9740","SA-3801-C13-002","no"
"9787","NC-3812-N30-001","yes"
"9796","NC-3901-Z07-002","yes"
"9813","NC-3905-H15-001","yes"
"9880","NC-3811-C28-001","yes"
"9888","NC-3812-P08-001","yes"
"9956","NA-3805-S05-004","yes"
"9961","NB-3813-W03-001","yes"
"9987","NA-3807-B12-007","yes"
"10017","NC-3809-E32-001","no"
"10041","NA-3807-F12-010","yes"
"10052","NC-3808-U27-001","no"
"10064","NA-3807-E11-002","yes"
"10065","NA-3807-F14-003","yes"
"10067","NA-3807-E12-003","yes"
"10068","NA-3807-D11-001","yes"
"10070","NA-3807-E10-001","yes"
"10084","NA-3807-R10-002","yes"
"10086","NA-3807-R10-002","no"
"10179","NA-3801-E13-001","yes"
"10187","NA-3801-E13-001","no"
"10203","NA-3801-E13-002","yes"
"10216","NA-3801-E13-002","no"
"10280","NA-3801-F13-001","no"
"10292","NA-3805-S08-004","yes"
"10306","NA-3801-F13-001","yes"
"10310","NA-3801-D12-002","yes"
"10324","NA-3805-R07-007","yes"
"10326","NA-3805-T09-003","yes"
"10332","NA-3801-B10-001","yes"
"10334","NA-3801-C12-001","yes"
"10374","NA-3704-G33-002","no"
"10379","NA-3704-J27-001","yes"
"10455","NA-3807-F12-007","yes"
"10458","NA-3704-F31-001","no"
"10491","NA-3807-M11-002","yes"
"10494","NA-3807-N11-005","yes"
"10509","NA-3807-K09-001","yes"
"10512","NB-3814-E05-001","yes"
"10515","NA-3807-E12-007","yes"
"10524","NC-3807-S29-001","yes"
"10545","NB-3814-F05-001","yes"
"10552","NA-3807-V09-001","yes"
"10558","NB-3814-E04-001","yes"
"10610","NA-3807-B23-001","yes"
"10624","NA-3807-C27-001","yes"
"10633","NA-3807-D27-001","yes"
"10638","NA-3807-D26-003","yes"
"10672","NA-3807-D26-003","no"
"10684","NA-3708-F11-002","yes"
"10685","NA-3708-F12-003","yes"
"10690","NA-3708-E12-001","yes"
"10722","NA-3708-E12-002","yes"
"10770","NA-3801-B12-001","yes"
"10806","NA-3807-F12-005","no"
"10818","NA-3807-R09-003","yes"
"10839","NA-3807-Q09-005","yes"
"10841","NA-3807-Q09-005","no"
"10857","NA-3807-R09-003","no"
"10918","NA-3807-B27-001","yes"
